P_sat,T
95646,289.95
95829,290
96013,290.05
96197,290.1
96381,290.15
96566,290.2
96751,290.25
96936,290.3
97122,290.35
97307,290.4
97493,290.45
97680,290.5
97866,290.55
98053,290.6
98240,290.65
98428,290.7
98616,290.75
98804,290.8
98992,290.85
99180,290.9
99369,290.95
99558,291
99748,291.05
99937,291.1
100130,291.15
100320,291.2
100510,291.25
100700,291.3
100890,291.35
101080,291.4
101270,291.45
101470,291.5
101660,291.55
101850,291.6
102040,291.65
102240,291.7
102430,291.75
102620,291.8
102820,291.85
103010,291.9
103210,291.95
103400,292
103600,292.05
103790,292.1
103990,292.15
104180,292.2
104380,292.25
104580,292.3
104770,292.35
104970,292.4
105170,292.45
105360,292.5
105560,292.55
105760,292.6
105960,292.65
106160,292.7
106360,292.75
106560,292.8
106760,292.85
106960,292.9
107160,292.95
107360,293
107560,293.05
107760,293.1
107960,293.15
108160,293.2
108360,293.25
108570,293.3
108770,293.35
108970,293.4
109180,293.45
109380,293.5
109580,293.55
109790,293.6
109990,293.65
110200,293.7
110400,293.75
110610,293.8
110810,293.85
111020,293.9
111230,293.95
111430,294
111640,294.05
111850,294.1
112050,294.15
112260,294.2
112470,294.25
112680,294.3
112890,294.35
113100,294.4
113300,294.45
113510,294.5
113720,294.55
113930,294.6
114140,294.65
114360,294.7
114570,294.75
114780,294.8
114990,294.85
115200,294.9
115410,294.95
115630,295
115840,295.05
116050,295.1
116270,295.15
116480,295.2
116690,295.25
116910,295.3
117120,295.35
117340,295.4
117550,295.45
117770,295.5
117990,295.55
118200,295.6
118420,295.65
118640,295.7
118850,295.75
119070,295.8
119290,295.85
119510,295.9
119720,295.95
119940,296
120160,296.05
120380,296.1
120600,296.15
120820,296.2
121040,296.25
121260,296.3
121480,296.35
121700,296.4
121930,296.45
122150,296.5
122370,296.55
122590,296.6
122820,296.65
123040,296.7
123260,296.75
123490,296.8
123710,296.85
123930,296.9
124160,296.95
124380,297
124610,297.05
124840,297.1
125060,297.15
125290,297.2
125510,297.25
125740,297.3
125970,297.35
126200,297.4
126420,297.45
126650,297.5
126880,297.55
127110,297.6
127340,297.65
127570,297.7
127800,297.75
128030,297.8
128260,297.85
128490,297.9
128720,297.95
128950,298
129180,298.05
129420,298.1
129650,298.15
129880,298.2
130120,298.25
130350,298.3
130580,298.35
130820,298.4
131050,298.45
131290,298.5
131520,298.55
131760,298.6
131990,298.65
132230,298.7
132460,298.75
132700,298.8
132940,298.85
133180,298.9
133410,298.95
133650,299
133890,299.05
134130,299.1
134370,299.15
134610,299.2
134850,299.25
135090,299.3
135330,299.35
135570,299.4
135810,299.45
136050,299.5
136290,299.55
136530,299.6
136780,299.65
137020,299.7
137260,299.75
137500,299.8
137750,299.85
137990,299.9
138240,299.95
138480,300
138730,300.05
138970,300.1
139220,300.15
139460,300.2
139710,300.25
139960,300.3
140200,300.35
140450,300.4
140700,300.45
140950,300.5
141190,300.55
141440,300.6
141690,300.65
141940,300.7
142190,300.75
142440,300.8
142690,300.85
142940,300.9
143190,300.95
143450,301
143700,301.05
143950,301.1
144200,301.15
144450,301.2
144710,301.25
144960,301.3
145220,301.35
145470,301.4
145720,301.45
145980,301.5
146230,301.55
146490,301.6
146750,301.65
147000,301.7
147260,301.75
147520,301.8
147770,301.85
148030,301.9
148290,301.95
148550,302
148810,302.05
149060,302.1
149320,302.15
149580,302.2
149840,302.25
150100,302.3
150370,302.35
150630,302.4
150890,302.45
151150,302.5
151410,302.55
151680,302.6
151940,302.65
152200,302.7
152460,302.75
152730,302.8
152990,302.85
153260,302.9
153520,302.95
153790,303
154050,303.05
154320,303.1
154590,303.15
154850,303.2
155120,303.25
155390,303.3
155660,303.35
155920,303.4
156190,303.45
156460,303.5
156730,303.55
157000,303.6
157270,303.65
157540,303.7
157810,303.75
158080,303.8
158360,303.85
158630,303.9
158900,303.95
159170,304
159440,304.05
159720,304.1
159990,304.15
160270,304.2
160540,304.25
160810,304.3
161090,304.35
161370,304.4
161640,304.45
161920,304.5
162190,304.55
162470,304.6
162750,304.65
163030,304.7
163300,304.75
163580,304.8
163860,304.85
164140,304.9
164420,304.95
164700,305
164980,305.05
165260,305.1
165540,305.15
165820,305.2
166100,305.25
166390,305.3
166670,305.35
166950,305.4
167240,305.45
167520,305.5
167800,305.55
168090,305.6
168370,305.65
168660,305.7
168940,305.75
169230,305.8
169510,305.85
169800,305.9
170090,305.95
170380,306
170660,306.05
170950,306.1
171240,306.15
171530,306.2
171820,306.25
172110,306.3
172400,306.35
172690,306.4
172980,306.45
173270,306.5
173560,306.55
173850,306.6
174140,306.65
174440,306.7
174730,306.75
175020,306.8
175320,306.85
175610,306.9
175910,306.95
176200,307
176500,307.05
176790,307.1
177090,307.15
177380,307.2
177680,307.25
177980,307.3
178280,307.35
178570,307.4
178870,307.45
179170,307.5
179470,307.55
179770,307.6
180070,307.65
180370,307.7
180670,307.75
180970,307.8
181270,307.85
181570,307.9
181880,307.95
182180,308
182480,308.05
182780,308.1
183090,308.15
183390,308.2
183700,308.25
184000,308.3
184310,308.35
184610,308.4
184920,308.45
185230,308.5
185530,308.55
185840,308.6
186150,308.65
186460,308.7
186760,308.75
187070,308.8
187380,308.85
187690,308.9
188000,308.95
188310,309
188620,309.05
188930,309.1
189240,309.15
189560,309.2
189870,309.25
190180,309.3
190500,309.35
190810,309.4
191120,309.45
191440,309.5
191750,309.55
192070,309.6
192380,309.65
192700,309.7
193010,309.75
193330,309.8
193650,309.85
193970,309.9
194280,309.95
194600,310
194670,310.01
194730,310.02
194790,310.03
194860,310.04
194920,310.05
194980,310.06
195050,310.07
195110,310.08
195180,310.09
195240,310.1
195300,310.11
195370,310.12
195430,310.13
195500,310.14
195560,310.15
195620,310.16
195690,310.17
195750,310.18
195820,310.19
195880,310.2
195940,310.21
196010,310.22
196070,310.23
196140,310.24
196200,310.25
196260,310.26
196330,310.27
196390,310.28
196460,310.29
196520,310.3
196590,310.31
196650,310.32
196710,310.33
196780,310.34
196840,310.35
196910,310.36
196970,310.37
197030,310.38
197100,310.39
197160,310.4
197230,310.41
197290,310.42
197360,310.43
197420,310.44
197490,310.45
197550,310.46
197610,310.47
197680,310.48
197740,310.49
197810,310.5
197870,310.51
197940,310.52
198000,310.53
198070,310.54
198130,310.55
198200,310.56
198260,310.57
198320,310.58
198390,310.59
198450,310.6
198520,310.61
198580,310.62
198650,310.63
198710,310.64
198780,310.65
198840,310.66
198910,310.67
198970,310.68
199040,310.69
199100,310.7
199170,310.71
199230,310.72
199300,310.73
199360,310.74
199430,310.75
199490,310.76
199560,310.77
199620,310.78
199690,310.79
199750,310.8
199820,310.81
199880,310.82
199950,310.83
200010,310.84
200080,310.85
200140,310.86
200210,310.87
200270,310.88
200340,310.89
200400,310.9
200470,310.91
200530,310.92
200600,310.93
200660,310.94
200730,310.95
200790,310.96
200860,310.97
200920,310.98
200990,310.99
201050,311
201120,311.01
201180,311.02
201250,311.03
201320,311.04
201380,311.05
201450,311.06
201510,311.07
201580,311.08
201640,311.09
201710,311.1
201770,311.11
201840,311.12
201900,311.13
201970,311.14
202040,311.15
202100,311.16
202170,311.17
202230,311.18
202300,311.19
202360,311.2
202430,311.21
202500,311.22
202560,311.23
202630,311.24
202690,311.25
202760,311.26
202820,311.27
202890,311.28
202960,311.29
203020,311.3
203090,311.31
203150,311.32
203220,311.33
203280,311.34
