step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
33,2.475,1.1468366753996297,168.88572293021954,32.59049225355574,-,0.001975852168773992,mix,0.8721846055319696,,31.973170770099387,,0.00018456110899478517,,,,,1119.9696663491445,11.243381922511617,20.0,0.012604434828947474,1.0336896925692947,62.13567609758397,5.5089223959583125,51.52687613666788,0.0,3.6002651810139032,,,,,,
34,2.55,1.1337273057902926,168.88468941162904,32.590307666110675,-,0.0019309159864511,mix,0.8622096554508819,,33.0066893605981,,0.00018458744506233415,,,,,1091.1188180961642,12.276900513010332,20.0,0.013681828276530075,1.0335185904908875,66.99675818457318,5.458482925763382,51.52687613666788,0.0,3.6002651810139032,,,,,,
35,2.625,1.120756735084587,168.8836563546817,32.59012310921952,-,0.0018869645583615086,mix,0.8523403813056364,,34.03974630794255,,0.00018455689115626228,,,,,1065.506259987745,13.30995746035478,20.0,0.014759439952228079,1.0330569473531788,71.80635059064392,5.408506844868348,51.52687613666788,0.0,3.6002651810139032,,,,,,
36,2.6999999999999997,1.1079137938653825,168.8826240269347,32.58993863476462,-,0.0018439444491030518,mix,0.8425682882551369,,35.072074054944096,,0.0001844744548975541,,,,,1042.5475029983866,14.342285207356326,20.0,0.015839110456750963,1.0323277470140955,76.56859253047915,5.358946049031752,51.52687613666788,0.0,3.6002651810139032,,,,,,
37,2.775,1.0951889142000546,168.88159267680015,32.58975429052407,-,0.0018018093739861044,mix,0.8328860994074306,,36.103424189495854,,0.0001843442405515816,,,,,1021.7978028608102,15.373635341908084,20.0,0.01692243661125424,1.0313501345655276,81.287029744872,5.309759800767677,51.52687613666788,0.0,3.6002651810139032,,,,,,
38,2.85,1.0825738104450944,168.88056253652408,32.58957012085722,-,0.0017605188160858365,mix,0.8232875130642306,,37.13356446556281,,0.00018416966685208536,,,,,1002.9115975104286,16.403775617975043,20.0,0.01801083103186886,1.0301402760757525,85.9647327892878,5.260913143342617,51.52687613666788,0.0,3.6002651810139032,,,,,,
39,2.925,1.0700612397204583,168.8795338245431,32.589386167236455,-,0.0017200369823638672,mix,0.8137670205562179,,38.16227644655737,,0.00018395362076262245,,,,,985.6155357499006,17.4324875989696,20.0,0.019105565267606137,1.0287119809913428,90.60438579802481,5.212375738592258,51.52687613666788,0.0,3.6002651810139032,,,,,,
40,3.0,1.057644818613038,168.8785067473797,32.58920246866842,-,0.001680332000251422,mix,0.8043197668419708,,39.18935360995238,,0.00018369856803701623,,,,,969.6900058352401,18.459564762364607,20.0,0.020207801832585016,1.0270771634031273,95.2083544107157,5.164120995646666,51.52687613666788,0.0,3.6002651810139032,,,,,,
41,3.0749999999999997,1.0453188804977644,168.87748150118884,32.589019062032094,-,0.001641375288751955,mix,0.7949414419975755,,40.21459980082,,0.00018340663632443466,,,,,954.9561587507388,19.484810953232227,20.0,0.021318618530403483,1.0252461908761168,99.7787386465739,5.116125404775941,51.52687613666788,0.0,3.6002651810139032,,,,,,
42,3.15,1.0330783628000444,168.8764582730359,32.58883598235519,-,0.001603141058786341,mix,0.7856281954773532,,41.2378279537661,,0.0001830796769013432,,,,,941.2665867400751,20.50803910617833,20.0,0.022439027304708224,1.0232281529410268,104.3174146828466,5.068368019266099,51.52687613666788,0.0,3.6002651810139032,,,,,,
43,3.225,1.020918716727216,168.87543724196493,32.58865326304215,-,0.0015656059109662595,mix,0.7763765674627964,,42.258859024732374,,0.00018271931304525424,,,,,928.4984951772134,21.529070177144604,20.0,0.023569989125184078,1.0210310709772508,108.82606830661949,5.020830046312405,51.52687613666788,0.0,3.6002651810139032,,,,,,
