step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_liq,P_loss_all_phase,Q_release_liq,Delta_T,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
9,1.3499999999999999,0.018922779337676724,177.0377237125191,30.433791643895233,1249.5324167122096,0.005055803920538559,liq,0.0,1.4577633966400754,1.4577633966400754,0.008814415877466928,0.00013941741514145178,0.151206715378436,103.05375227333576,485.4955599291535,1.1224910551276333
10,1.5,0.01892277511639081,177.03757793492454,30.43365227127248,1249.532695457455,0.00505580392053856,liq,0.0,1.6035409912001342,1.6035409912001342,0.009694300660319873,0.00013937262275476314,0.15120678985471933,103.05375227333576,485.4955599291535,1.1224910551276333
11,1.65,0.018922770896462996,177.0374321571021,30.43351294342773,1249.5329741131445,0.005055803920538559,liq,0.0,1.7493188136431854,1.7493188136431854,0.010573902751398183,0.00013932784474945947,0.15120686430707472,103.05375227333576,485.4955599291535,1.1224910551276333
12,1.7999999999999998,0.018922766677892857,177.03728637905186,30.433373660346604,1249.5332526793068,0.005055803920538559,liq,0.0,1.8950968638819177,1.8950968638819177,0.01145322224152208,0.00013928308112554078,0.1512069387355099,103.05375227333576,485.4955599291535,1.1224910551276333
13,1.95,0.018922762460679952,177.0371406007739,30.43323442201472,1249.5335311559706,0.005055803920538559,liq,0.0,2.0408751418290194,2.0408751418290194,0.012332259221482626,0.00013923833188300705,0.15120701314003246,103.05375227333576,485.4955599291535,1.1224910551276333
14,2.1,0.018922758244823843,177.03699482226833,30.4330952284177,1249.5338095431646,0.005055803920538559,liq,0.0,2.186653647426283,2.186653647426283,0.013211013782041706,0.0001391935970218583,0.15120708752065012,103.05375227333576,485.4955599291535,1.1224910551276333
15,2.25,0.018922754030324094,177.03684904353514,30.432956079541214,1249.5340878409177,0.00505580392053856,liq,0.0,2.3324323806155007,2.3324323806155007,0.014089486013932048,0.0001391488764852511,0.15120716187737065,103.05375227333576,485.4955599291535,1.1224910551276333
16,2.4,0.018922749817180267,177.03670326457447,30.432816975370827,1249.5343660492583,0.005055803920538559,liq,0.0,2.4782113412802573,2.4782113412802573,0.014967676007857325,0.00013910417038687228,0.1512072362102016,103.05375227333576,485.4955599291535,1.1224910551276333
17,2.55,0.01892274560539192,177.03655748538637,30.432677915892214,1249.5346441682157,0.005055803920538558,liq,0.0,2.623990529391449,2.623990529391449,0.01584558385449193,0.00013905947861303503,0.1512073105191507,103.05375227333576,485.4955599291535,1.1224910551276333
18,2.6999999999999997,0.018922741394958635,177.0364117059709,30.43253890109105,1249.5349221978179,0.00505580392053856,liq,0.0,2.769769944861764,2.769769944861764,0.016723209644481197,0.00013901480116373932,0.1512073848042256,103.05375227333576,485.4955599291535,1.1224910551276333
19,2.85,0.01892273718587995,177.03626592632816,30.432399930952897,1249.5352001380943,0.005055803920538558,liq,0.0,2.9155495876038913,2.9155495876038913,0.017600553468441422,0.000138970138152672,0.151207459065434,103.05375227333576,485.4955599291535,1.1224910551276333
20,3.0,0.018922732978155447,177.0361201464582,30.432261005463488,1249.5354779890731,0.005055803920538559,liq,0.0,3.061329457559623,3.061329457559623,0.018477615416959612,0.00013892548940930283,0.15120753330278358,103.05375227333576,485.4955599291535,1.1224910551276333
21,3.15,0.01892272877178468,177.03597436636107,30.43212212460844,1249.5357557507832,0.005055803920538559,liq,0.0,3.207109554670751,3.207109554670751,0.019354395580593837,0.00013888085504731862,0.15120760751628196,103.05375227333576,485.4955599291535,1.1224910551276333
22,3.3,0.018922724566767222,177.03582858603693,30.43198328837343,1249.5360334232532,0.005055803920538559,liq,0.0,3.3528898788208608,3.3528898788208608,0.020230894049873,0.00013883623500987596,0.15120768170593682,103.05375227333576,485.4955599291535,1.1224910551276333
