step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
10,0.75,2.8155866929050264,163.00199196145832,48.22977180601464,14.883908722405849,0.008960735780423001,gas,1.0,50.95709338315646,50.95709338315646,99.76204738672783,0.8725910471729321,0.40804252287535603,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
11,0.825,2.884565835957209,162.9965257906455,47.39746782222227,14.527987128888892,0.008960735780423001,gas,1.0,56.42326419596793,56.42326419596793,106.37577183913923,0.8323039837923716,0.40663791913656727,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
12,0.8999999999999999,2.952353517198758,162.99092935125836,46.6035411304851,14.19441645219403,0.008960735780423001,gas,1.0,62.019703583122464,62.019703583122464,112.66921278284231,0.7939266917371697,0.4053151051745336,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
13,0.975,3.018689587072778,162.98520489360118,45.84623107182091,13.882492428728353,0.008960735780423001,gas,1.0,67.74416124029085,67.74416124029085,118.65858945589473,0.7573100586641885,0.4040403291049487,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
14,1.05,3.083766465864189,162.97935532071554,45.12382373236477,13.589529492945907,0.008960735780423001,gas,1.0,73.59373412592686,73.59373412592686,124.35944764530011,0.7224073394561401,0.40282665480697516,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
15,1.125,3.1473795156530766,162.97338300976762,44.43466407474881,13.314865629899524,0.008960735780423001,gas,1.0,79.56604507385055,79.56604507385055,129.78666372339634,0.68915965761596,0.4016873100547159,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
16,1.2,3.20956556872288,162.96729080109216,43.77721780168696,13.056887120674771,0.008960735780423001,gas,1.0,85.65825374930864,85.65825374930864,134.9539197292301,0.6574462730618507,0.40058924377527133,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
17,1.275,3.270149784099772,162.9610814532366,43.14997389567617,12.814989558270453,0.008960735780422998,gas,1.0,91.86760160487029,91.86760160487029,139.8745823739719,0.6272439060107899,0.39956754680378376,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
18,1.3499999999999999,3.3294802920722955,162.95475799615474,42.55157410542574,12.586629642170294,0.008960735780423001,gas,1.0,98.19105868673068,98.19105868673068,144.56063049350308,0.5983997902504257,0.3985600384592251,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
19,1.425,3.3871705299802697,162.94832281328647,41.98063588494841,12.372254353979358,0.008960735780423001,gas,1.0,104.62624155500089,104.62624155500089,149.0240727949511,0.5709382204773306,0.3976270878862639,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
20,1.5,3.443361342975156,162.94177907980594,41.435891420540145,12.170356568216057,0.008960735780422998,gas,1.0,111.16997503553284,111.16997503553284,153.2758994261374,0.544744464408268,0.39673134280310146,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
21,1.575,3.4981231891349096,162.93512964892676,40.916113542809626,11.979834062842881,0.008960735780423001,gas,1.0,117.81940591472085,117.81940591472085,157.32666226549992,0.5197778777305189,0.3958858789073638,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
22,1.65,3.5511198357973957,162.92837722172885,40.42015971954555,11.801047915863661,0.008960735780423001,gas,1.0,124.57183311262634,124.57183311262634,161.1861605081202,0.4959538232640739,0.39506770890831566,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,
