step,distance,u,P[kPa],T,rho,m_dot,phase,x,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,P_loss_all_phase,Q_release_mix,Delta_T,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
31,4.6499999999999995,7.833043978481483,159.31542951852256,30.888614617751443,-,0.011968503307308464,mix,0.8172089011216234,605.4205099647072,2006.0711860803422,20.0,0.01917438549952058,63.089417334987324,2006.0711860803422,0.07081713226150342,0.011669084560082865,50.60799785956093,103.05375227333576,485.4955599291535,1.1224910551276333
32,4.8,7.836558290708885,159.2523200245238,30.876931392319023,-,0.011970155612351797,mix,0.817265308834198,605.4569294157652,2069.1806800790946,20.0,0.019163755224349363,63.109493998759056,2069.1806800790946,0.0726432707543552,0.01168322543242084,50.62518347414618,103.05375227333576,485.4955599291535,1.1224910551276333
33,4.95,7.840076415285504,159.18919042042594,30.86524444898589,-,0.011971808629509586,mix,0.8173217369619933,605.4934673937272,2132.310284176958,20.0,0.019153115562846424,63.129604097877454,2132.310284176958,0.07444539980028506,0.011686943333131694,50.64241349101888,103.05375227333576,485.4955599291535,1.1224910551276333
34,5.1,7.843598359675702,159.12604068385136,30.85355378156038,-,0.011973462359708979,mix,0.8173781855324274,605.5300440328623,2195.460020751547,20.0,0.019142474861192443,63.149736574583045,2195.460020751547,0.07622351175763728,0.011690667425511947,50.65966101492657,103.05375227333576,485.4955599291535,1.1224910551276333
35,5.25,7.847124130742273,159.0628707923778,30.84185938589843,-,0.011975116803584795,mix,0.817434654562932,605.5666593924943,2258.629912225093,20.0,0.0191318331167018,63.16989147355375,2258.629912225093,0.07797759897202972,0.011694395661947965,50.676926078860305,103.05375227333576,485.4955599291535,1.1224910551276333
36,5.3999999999999995,7.850653733594823,158.99968072354176,30.83016125784775,-,0.011976771956370185,mix,0.8174911438865833,605.6022460381644,2321.819981061126,20.0,0.019121190328569293,63.190068836035074,2321.819981061126,0.07970765377923077,0.011698128050682044,50.69387703729007,103.05375227333576,485.4955599291535,1.1224910551276333
37,5.55,7.854187174355136,158.93647045484084,30.818459393248474,-,0.011978427816340374,mix,0.8175476534403152,605.6374048527815,2385.030249762058,20.0,0.019110546516652786,63.2102687009255,2385.030249762058,0.0814136685072679,0.011701864599274359,50.710700370821904,103.05375227333576,485.4955599291535,1.1224910551276333
38,5.7,7.857724459934834,158.87323996373223,30.806753787933474,-,0.01198008438413004,mix,0.8176041832415908,605.6726018464985,2448.260740870668,20.0,0.01909990168914912,63.23049110860233,2448.260740870668,0.08309563547620667,0.011705605315000867,50.72754084913897,103.05375227333576,485.4955599291535,1.1224910551276333
39,5.85,7.861265597262998,158.8099892276316,30.795044437728222,-,0.01198174166037493,mix,0.8176607333079027,605.7078370714668,2511.5114769712964,20.0,0.01908925584522551,63.25073610061736,2511.5114769712964,0.0847535469975467,0.011709350205251212,50.74439850166533,103.05375227333576,485.4955599291535,1.1224910551276333
40,6.0,7.864810596145597,158.74671831074795,30.783331338450296,-,0.011983399654424992,mix,0.8177173039540551,605.745970969223,2574.7823938549554,20.0,0.019078514334164853,63.27091688367081,2574.7823938549554,0.08638739537757277,0.01171309927792663,50.76159570094342,103.05375227333576,485.4955599291535,1.1224910551276333
41,6.1499999999999995,7.8683594625750475,158.6834273087854,30.77161450199037,-,0.011985058376516021,mix,0.8177738955249857,605.7880445263971,2638.0733958174824,20.0,0.019067642893133164,63.29100196254052,2638.0733958174824,0.08799717291502909,0.011716836459925162,50.77925004227277,103.05375227333576,485.4955599291535,1.1224910551276333
42,6.3,7.871912196881013,158.62011619906974,30.759893946071372,-,0.01198671782418157,mix,0.8178305079322099,605.8301598856281,2701.3845055331476,20.0,0.01905677056285825,63.31110971567413,2701.3845055331476,0.08958287192843768,0.011720555918998343,50.79692237767069,103.05375227333576,485.4955599291535,1.1224910551276333
43,6.45,7.875465493948161,158.55678495892244,30.74816966649439,-,0.011988377998084516,mix,0.8178871411940134,605.87231702538,2764.7157456804707,20.0,0.01904589736298271,63.33124014733688,2764.7157456804707,0.09114448477273929,0.01172427957698119,50.81461270496082,103.05375227333576,485.4955599291535,1.1224910551276333
44,6.6,7.87900474134681,158.49343355561186,30.73644165905972,-,0.011990038896879667,mix,0.8179437952601801,605.9136884410555,2828.0671489910455,20.0,0.019035063169860467,63.35140331056772,2828.0671489910455,0.09268200379332718,0.011728007434669507,50.83225952897395,103.05375227333576,485.4955599291535,1.1224910551276333
45,6.75,7.882547831804589,158.43006191239732,30.724709917705923,-,0.011991700510626759,mix,0.8180004697873557,605.9506260876658,2891.438792205561,20.0,0.019024443592162682,63.371643214521015,2891.438792205561,0.09419542132303088,0.011731741353798952,50.84959151469138,103.05375227333576,485.4955599291535,1.1224910551276333
46,6.8999999999999995,7.8860947752709905,158.36667000672796,30.71297442822174,-,0.011993362841397527,mix,0.8180571648419434,605.9876028738292,2954.830697874946,20.0,0.01901382299438863,63.391905669375845,2954.830697874946,0.09568472968725007,0.011735489484181016,50.86694112663591,103.05375227333576,485.4955599291535,1.1224910551276333
47,7.05,7.889645578679738,158.30325781599393,30.70123518643112,-,0.011995025889831257,mix,0.8181138804414763,606.024618885136,3018.2428886089765,20.0,0.019003201366606663,63.41219073401727,3018.2428886089765,0.09714992118217741,0.01173924179062169,50.88430840989346,103.05375227333576,485.4955599291535,1.1224910551276333
48,7.199999999999999,7.8931048879130445,158.23982531754382,30.689867467141823,-,0.011996636085193621,mix,0.8181687898256801,606.061674175467,3081.6753870590765,20.0,0.018992578708021204,63.432498450106586,3081.6753870590765,0.0985909880954212,0.011367719289296474,50.90169339476859,103.05375227333576,485.4955599291535,1.1224910551276333
49,7.35,7.896556676979504,158.1763727703604,30.678540235275705,-,0.011998240671657362,mix,0.8182235042748108,606.0959541464262,3145.1279342425114,20.0,0.01898222566187284,63.452547183431264,3145.1279342425114,0.10000869391677536,0.011327231866118836,50.91821944658648,103.05375227333576,485.4955599291535,1.1224910551276333
50,7.5,7.900012138080085,158.11290018558952,30.667209423278678,-,0.011999845938480743,mix,0.8182782382625515,606.1299398771004,3208.6005190133583,20.0,0.018971903388131747,63.472584770849515,3208.6005190133583,0.10140312184809877,0.011330811997027013,50.93465894096025,103.05375227333576,485.4955599291535,1.1224910551276333
51,7.6499999999999995,7.903471275880991,158.04940754135308,30.655875033141,-,0.012001451885419021,mix,0.8183329917766378,606.163962012956,3272.0931632498105,20.0,0.01896158011519417,63.49264423643873,3272.0931632498105,0.10277426453096966,0.011334390137676564,50.95111482962848,103.05375227333576,485.4955599291535,1.1224910551276333
52,7.8,7.906985656935291,157.9858948157439,30.644334729880256,-,0.012003087393680025,mix,0.8183887493960744,606.1980205849986,3335.6058888589905,20.0,0.018951255847686813,63.512725609194135,3335.6058888589905,0.1041221146110542,0.011540303260744622,50.96758713153573,103.05375227333576,485.4955599291535,1.1224910551276333
53,7.949999999999999,7.9105593282362845,157.92236183427568,30.632573114026684,-,0.012004754667031605,mix,0.8184455860385518,606.2326615447112,3399.1388703272096,20.0,0.018940784825335594,63.53298146821611,3399.1388703272096,0.1054462489278426,0.011761615853572494,50.98450232652619,103.05375227333576,485.4955599291535,1.1224910551276333
54,8.1,7.9141368985389375,157.85880841028973,30.620807747088122,-,0.01200642265816985,mix,0.8185024432007985,606.2679277645486,3462.692294313165,20.0,0.018930156052157126,63.55342398596457,3462.692294313165,0.10674621267426053,0.011765366938561783,51.001893593698206,103.05375227333576,485.4955599291535,1.1224910551276333
55,8.25,7.917718384138805,157.79523452089657,30.609038594498145,-,0.012008091372071476,mix,0.8185593210481638,606.3032328447887,3526.2661837063206,20.0,0.018919526270003807,63.57388939316902,3526.2661837063206,0.10802199814047994,0.011769152589977239,51.01930263786693,103.05375227333576,485.4955599291535,1.1224910551276333
