step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_liq,P_loss_all_phase,Q_release_liq,Delta_T,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
69,10.35,0.0017814487838446887,10.082561658861561,30.0,995.605,0.0003792435295442727,liq,0.0,1.7528564033273142,1.7528564033273142,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
70,10.5,0.0017814487838446887,10.0825366180558,30.0,995.605,0.0003792435295442727,liq,0.0,1.777897209089133,1.777897209089133,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
71,10.65,0.0017814487838446887,10.082511577250038,30.0,995.605,0.0003792435295442727,liq,0.0,1.8029380148509517,1.8029380148509517,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
72,10.799999999999999,0.0017814487838446887,10.082486536444277,30.0,995.605,0.0003792435295442727,liq,0.0,1.8279788206127705,1.8279788206127705,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
73,10.95,0.0017814487838446887,10.082461495638514,30.0,995.605,0.0003792435295442727,liq,0.0,1.8530196263745893,1.8530196263745893,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
74,11.1,0.0017814487838446887,10.082436454832752,30.0,995.605,0.0003792435295442727,liq,0.0,1.878060432136408,1.878060432136408,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
75,11.25,0.0017814487838446887,10.082411414026991,30.0,995.605,0.0003792435295442727,liq,0.0,1.9031012378982268,1.9031012378982268,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
76,11.4,0.0017814487838446887,10.08238637322123,30.0,995.605,0.0003792435295442727,liq,0.0,1.9281420436600456,1.9281420436600456,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
77,11.549999999999999,0.0017814487838446887,10.082361332415466,30.0,995.605,0.0003792435295442727,liq,0.0,1.9531828494218644,1.9531828494218644,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
78,11.7,0.0017814487838446887,10.082336291609705,30.0,995.605,0.0003792435295442727,liq,0.0,1.9782236551836831,1.9782236551836831,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
79,11.85,0.0017814487838446887,10.082311250803944,30.0,995.605,0.0003792435295442727,liq,0.0,2.003264460945502,2.003264460945502,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
